Rank	Title	Worldwide Lifetime Gross	Domestic Lifetime Gross	 Domestic % 	Foreign Lifetime Gross	 Foreign % 	Year
1	Avatar	2847246203	760507625	 0.27 	2086738578	 0.73 	2009
2	Avengers: Endgame	2797501328	858373000	 0.31 	1939128328	 0.69 	2019
3	Titanic	2201647264	659363944	 0.30 	1542283320	 0.70 	1997
4	Star Wars: Episode VII 0 The Force Awakens	2069521700	936662225	 0.45 	1132859475	 0.55 	2015
5	Avengers: Infinity War	2048359754	678815482	 0.33 	1369544272	 0.67 	2018
6	Spider0Man: No Way Home	1832170405	772170405	 0.42 	1060000000	 0.58 	2021
7	Jurassic World	1670516444	652385625	 0.39 	1018130819	 0.61 	2015
8	The Lion King	1662899439	543638043	 0.33 	1119261396	 0.67 	2019
9	The Avengers	1518815515	623357910	 0.41 	895457605	 0.59 	2012
10	Furious 7	1515341399	353007020	 0.23 	1162334379	 0.77 	2015
11	Frozen II	1450026933	477373578	 0.33 	972653355	 0.67 	2019
12	Avengers: Age of Ultron	1402809540	459005868	 0.33 	943803672	 0.67 	2015
13	Black Panther	1347597973	700426566	 0.52 	647171407	 0.48 	2018
14	Harry Potter and the Deathly Hallows: Part 2	1342321665	381409310	 0.28 	960912355	 0.72 	2011
15	Star Wars: Episode VIII 0 The Last Jedi	1332698830	620181382	 0.47 	712517448	 0.53 	2017
16	Jurassic World: Fallen Kingdom	1310466296	417719760	 0.32 	892746536	 0.68 	2018
17	Frozen	1281508100	400953009	 0.31 	880555091	 0.69 	2013
18	Beauty and the Beast	1273576220	504481165	 0.40 	769095055	 0.60 	2017
19	Incredibles 2	1243089244	608581744	 0.49 	634507500	 0.51 	2018
20	The Fate of the Furious	1236005118	226008385	 0.18 	1009996733	 0.82 	2017
21	Iron Man 3	1214811252	409013994	 0.34 	805797258	 0.66 	2013
22	Minions	1159444662	336045770	 0.29 	823398892	 0.71 	2015
23	Captain America: Civil War	1153337496	408084349	 0.35 	745253147	 0.65 	2016
24	Aquaman	1148485886	335061807	 0.29 	813424079	 0.71 	2018
25	The Lord of the Rings: The Return of the King	1146030912	377845905	 0.33 	768185007	 0.67 	2003
26	Spider0Man: Far from Home	1131927996	390532085	 0.35 	741395911	 0.65 	2019
27	Captain Marvel	1128462972	426829839	 0.38 	701633133	 0.62 	2019
28	Transformers: Dark of the Moon	1123794079	352390543	 0.31 	771403536	 0.69 	2011
29	Skyfall	1108569499	304360277	 0.27 	804209222	 0.73 	2012
30	Transformers: Age of Extinction	1104054072	245439076	 0.22 	858614996	 0.78 	2014
31	Jurassic Park	1099428303	404214720	 0.37 	695213583	 0.63 	1993
32	The Dark Knight Rises	1081142612	448139099	 0.41 	633003513	 0.59 	2012
33	Joker	1074419384	335451311	 0.31 	738968073	 0.69 	2019
34	Star Wars: Episode IX 0 The Rise of Skywalker	1074149279	515202542	 0.48 	558946737	 0.52 	2019
35	Toy Story 4	1073394593	434038008	 0.40 	639356585	 0.60 	2019
36	Toy Story 3	1066970811	415004880	 0.39 	651965931	 0.61 	2010
37	Pirates of the Caribbean: Dead Man's Chest	1066179747	423315812	 0.40 	642863935	 0.60 	2006
38	The Lion King	1063611805	422783777	 0.40 	640828028	 0.60 	1994
39	Rogue One: A Star Wars Story	1056057720	532177324	 0.50 	523880396	 0.50 	2016
40	Aladdin	1050693953	355559216	 0.34 	695134737	 0.66 	2019
41	Pirates of the Caribbean: On Stranger Tides	1045713802	241071802	 0.23 	804642000	 0.77 	2011
42	Despicable Me 3	1034800131	264624300	 0.26 	770175831	 0.74 	2017
43	Finding Dory	1028570942	486295561	 0.47 	542275381	 0.53 	2016
44	Star Wars: Episode I 0 The Phantom Menace	1027082707	474544677	 0.46 	552538030	 0.54 	1999
45	Alice in Wonderland	1025468216	334191110	 0.33 	691277106	 0.67 	2010
46	Zootopia	1024121104	341268248	 0.33 	682852856	 0.67 	2016
47	Harry Potter and the Sorcerer's Stone	1017713119	318886962	 0.31 	698826157	 0.69 	2001
48	The Hobbit: An Unexpected Journey	1017003568	303003568	 0.30 	714000000	 0.70 	2012
49	The Dark Knight	1005973645	534858444	 0.53 	471115201	 0.47 	2008
50	Harry Potter and the Deathly Hallows: Part 1	977043483	296347721	 0.30 	680695762	 0.70 	2010
51	Despicable Me 2	970766005	368065385	 0.38 	602700620	 0.62 	2013
52	The Jungle Book	966554929	364001123	 0.38 	602553806	 0.62 	2016
53	Jumanji: Welcome to the Jungle	962542945	404540171	 0.42 	558002774	 0.58 	2017
