series,IMDB_ID
Dalmatians,tt0115433
Dalmatians,tt0211181
12 Rounds,tt1160368
12 Rounds,tt2317524
1981,tt1286159
1981,tt2833074
1981,tt8264546
Fast & Furious,tt0322259
21 Jump Street,tt1232829
21 Jump Street,tt2294449
28 Days Later,tt0289043
28 Days Later,tt0463854
30 Days of Night,tt0389722
30 Days of Night,tt1320304
8MM ,tt0134273
8MM ,tt0448172
Cinderella,tt0356470
Cinderella,tt1814614
A Dog's Journey,tt8385474
A Dog's Journey,tt1753383
A Haunted House ,tt2243537
A Haunted House ,tt2828996
A Nightmare on Elm Street,tt0087800
A Nightmare on Elm Street,tt1179056
A Nightmare on Elm Street,tt0093629
A Nightmare on Elm Street,tt0095742
A Nightmare on Elm Street,tt0089686
A Nightmare on Elm Street,tt0097981
A Quiet Place,tt6644200
A Quiet Place,tt8332922
Harold & Kumar,tt1268799
AVP,tt0370263
Ace Ventura,tt0109040
Ace Ventura,tt0112281
Addams Family,tt0106220
Agent Cody Banks,tt0313911
Agent Cody Banks,tt0358349
Alice Through the Looking Glass,tt2567026
Alice Through the Looking Glass,tt1014759
Alien,tt0078748
Alien,tt0118583
Alien,tt2316204
Alien,tt0090605
Alien,tt0758730
Alien,tt0103644
Alone in the Dark ,tt0369226
Alone in the Dark ,tt0913951
Alvin and the Chipmunks,tt0952640
Alvin and the Chipmunks,tt1615918
Alvin and the Chipmunks,tt1231580
American Pie ,tt0163651
American Pie ,tt0252866
American Pie ,tt0436058
American Pie ,tt0974959
American Pie Presents,tt1407050
American Pie ,tt0808146
American Psycho,tt0144084
American Psycho,tt0283877
An American Werewolf,tt0082010
An American Werewolf,tt0118604
Anaconda,tt0118615
Anaconda,tt1137996
Anaconda,tt0366174
Anaconda,tt1150934
Analyze That,tt0289848
Analyze That,tt0122933
Anchorman,tt1229340
Anchorman,tt0357413
Annabelle,tt3322940
Annabelle,tt8350360
Annabelle,tt5140878
Cinderella,tt1071358
Antikiller,tt0325005
Antikiller,tt0405699
Antikiller,tt1532261
Arthur,tt0940656
Arthur,tt0344854
Arthur,tt0940657
Astérix & Obélix ,tt0133385
Astérix & Obélix ,tt1597522
Astérix & Obélix ,tt0250223
Astérix & Obélix ,tt0463872
Atlas Shrugged,tt0480239
Atlas Shrugged II,tt1985017
Austin Powers,tt0295178
Austin Powers,tt0118655
Austin Powers,tt0145660
Avatar,tt0499549
Avatar,tt1630029
Avengers,tt2395427
Avengers,tt4154796
Avengers,tt4154756
Back to the Future,tt0088763
Back to the Future,tt0096874
Back to the Future,tt0099088
Bad Ass,tt1928330
Bad Ass,tt2996648
Bad Boys ,tt0112442
Bad Boys ,tt0172156
Bad Boys ,tt1502397
The Bad Lieutenant,tt0103759
The Bad Lieutenant,tt1095217
Bad Santa ,tt0307987
Bad Santa ,tt1798603
Balto,tt0112453
Balto,tt0281634
Balto,tt0423849
Bambi ,tt0034492
Bambi ,tt0447854
Metropolitan,tt0109219
Basic Instinct ,tt0103772
Basic Instinct ,tt0430912
Batman,tt0096895
Batman,tt0118688
Batman,tt0372784
Batman,tt0112462
Batman,tt0103776
Batman,tt2975590
Battle Royale,tt0266308
Battle Royale,tt0338763
Planet of the Apes,tt0069768
Beauty and the Beast,tt0101414
Beauty and the Beast,tt0118692
Before Midnight,tt2209418
Before Midnight,tt0112471
Before Midnight,tt0381681
Behind Enemy Lines,tt0159273
Behind Enemy Lines,tt0497329
Behind Enemy Lines,tt1208647
Beauty and the Beast,tt0167038
Planet of the Apes,tt0065462
Beverly Hills Chihuahua ,tt1014775
Beverly Hills Chihuahua ,tt1482393
Beverly Hills Cop ,tt0086960
Beverly Hills Cop ,tt0092644
Beverly Hills Cop ,tt0109254
Big Momma's House ,tt0208003
Big Momma's House ,tt0421729
Big Momma's House ,tt1464174
Bill & Ted,tt1086064
Bill & Ted,tt0101452
Bill & Ted,tt0096928
Blade ,tt0120611
Blade ,tt0187738
Blade Runner,tt0083658
Blade Runner,tt1856101
Blade,tt0359013
BloodRayne,tt0383222
BloodRayne II,tt0896036
BloodRayne,tt1153546
Blue Crush ,tt0300532
Blue Crush ,tt1630626
Blues Brothers ,tt0118747
Boogeyman,tt0357507
Boogeyman ,tt0900357
Boogeyman ,tt1204883
Boogeyman,tt0085266
Book Club,tt6857166
Book Club,tt20768712
Borat,tt13143964
Borat,tt0443453
Bridget Jones,tt1473832
Bridget Jones,tt0243155
Bridget Jones,tt0317198
Brat ,tt0118767
Brat ,tt0238883
Brother Bear ,tt0328880
Brother Bear ,tt0465925
Candyman,tt0103919
Candyman,tt0165662
Candyman,tt0112625
Captain America,tt3498820
Captain America,tt0458339
Captain America,tt1843866
Carlito's Way,tt0106519
Carlito's Way,tt0427038
Cars ,tt0317219
Cars ,tt1216475
Cars ,tt3606752
Charlie's Angels,tt0160127
Charlie's Angels,tt0305357
Che,tt0892255
Che,tt0374569
Cheaper by the Dozen ,tt0349205
Cheaper by the Dozen ,tt0452598
Child's Play ,tt0094862
Child's Play ,tt0099253
Child's Play ,tt0103956
Chinese Puzzle,tt1937118
Chinese Puzzle,tt1424310
Cinderella,tt0042332
Cinderella,tt0291082
Cinderella,tt0465940
City of God,tt0317248
City of God,tt0870090
Clash of the Titans,tt0800320
Class of 1999,tt0099277
Class of 1999,tt0109442
Clerks ,tt0109445
Clerks ,tt0424345
Clerks ,tt11128440
Cocoon,tt0088933
Cocoon,tt0094890
Planet of the Apes,tt0068408
Crank,tt0479884
Crank,tt1121931
Crimson Rivers,tt0337103
Critters ,tt0090887
Critters ,tt0094919
Critters ,tt0101627
Critters ,tt0101628
Cruel Intentions,tt0139134
Cruel Intentions,tt0196267
Cruel Intentions,tt0391891
Cube,tt0123755
Cube,tt0285492
Cube,tt0377713
Curse of Chucky,tt2230358
Curse of Chucky,tt0059076
Curse of Chucky,tt0085384
Damien,tt0077394
Darkman,tt0099365
Darkman,tt0109552
Darkman,tt0116033
Planet of the Apes,tt2103281
Day Watch,tt0409904
Deadpool ,tt1431045
Deadpool ,tt5463162
Death Race ,tt0452608
Death Race ,tt1500491
Death Race ,tt1988591
Desperado,tt0112851
Despicable Me ,tt1323594
Despicable Me ,tt1690953
Despicable Me ,tt3469046
Deuce Bigalow,tt0367652
Deuce Bigalow,tt0205000
Die Hard ,tt0095016
Die Hard ,tt0099423
Die Hard ,tt0112864
Dirty Dancing,tt0092890
Dirty Dancing,tt0338096
District 13,tt1247640
District 13,tt0414852
Dolphin Tale ,tt1564349
Dolphin Tale ,tt2978462
Dominion,tt0449086
Don't Breathe ,tt4160708
Don't Breathe ,tt6246322
Donnie Darko,tt0246578
Dr. Dolittle ,tt0240462
Dr. Dolittle ,tt0481513
Dr. Dolittle,tt1080926
Dr. Dolittle,tt1024724
Drunken Master,tt0080179
Drunken Master,tt0109678
Dumb and Dumber,tt0109686
Dumb and Dumber,tt2096672
Dumb and Dumber,tt0329028
Dune,tt1160419
Dune,tt15239678
Dungeons & Dragons,tt0190374
Dungeons & Dragons,tt1733125
Dungeons & Dragons,tt0406728
Elite Squad,tt0861739
