IMDB_ID,NORMALIZED_REVENUE
tt28689884,28
tt27161272,0
tt29510842,51
tt2444514,3674
tt2444514,3674
tt10378492,3597
tt10947284,55
tt19406606,790377
tt19406606,790377
tt27191541,0
tt27922369,16644416
tt11474750,74410
tt27327494,163865
tt28948446,1806
tt30463098,139
tt28317056,12
tt13966292,241
tt16474966,1289
tt28115341,42937
tt29692677,7
tt26669996,655
tt19369162,92986
tt28282020,43171
tt11312414,1303
tt11416992,10
tt2354571,2
tt8431114,206
tt1945117,1393
tt27695089,0
tt5033000,9
tt21191906,1072838
tt8374084,4590
tt0440077,26127633
tt23725282,288
tt19712084,86469
tt0190322,19745
tt23805896,8976
tt3912256,24
tt0296474,62730
tt4112474,5
tt20836144,7417934
tt10521336,130
tt23642740,316151
tt27704538,4649
tt18259430,1153
tt18259430,1153
tt28814949,24330256
tt27736273,1182962
tt28366709,21177
tt15400448,297554
tt5327328,488
tt14304326,3
tt2466864,612
tt0112833,165
tt0274938,94019
tt28289318,9
tt3524254,200
tt6098370,234
tt4011066,178
tt6568410,958
tt6449076,3757
tt0061373,4038
tt5020376,119
tt8395602,112
tt1924343,216
tt5852314,1086
tt1439233,7460
tt8043254,724
tt9116320,3309
tt0887789,27252
tt4273398,2
tt3701784,1186
tt5713152,59
tt3761144,2
tt6774196,895
tt9109228,2
tt8037658,172037
tt0335582,88446
tt7699320,24072
tt0254744,10758
tt3719198,5931
tt1112651,23189
tt5724978,275
tt2548096,12068
tt1431347,1147
tt7616710,2
tt5376718,8423
tt4773112,108076
tt5141848,1120
tt12171216,1289
tt8209632,834745
tt1402414,35
tt5396900,0
tt4498818,11876
tt8190662,12
tt2349630,2578
tt3106096,12
tt5535276,27896
tt0081753,401261
tt0074743,748376
tt3416008,241092
tt0344796,5304
tt0050945,6111254
tt3130598,1182894
tt6276102,1735
tt0376361,94019
tt2403439,185971
tt0368833,2
tt0348601,4
tt0371007,95026
tt5986034,2578
tt3219080,1021
tt0465600,2056
tt0275876,39
tt0255549,1281
tt0255549,1281
tt0460427,56
tt1547939,1
tt0161109,1
tt0161109,1
tt0161109,1
tt3460400,12
tt0860474,271
tt3122174,29691
tt0278674,23819
tt0118078,183975
tt3490438,18707
tt0435645,189
tt0435645,189
tt0202614,1029
tt0202614,1029
tt0202614,1029
tt4145848,111639
tt0302018,240
tt0219687,13656
tt0417736,23900
tt5364756,0
tt1844043,1532
tt0085201,49151
tt0448247,48851
tt0339638,9015
tt0339638,9015
tt0339638,9015
tt1518255,186
tt1518255,186
tt1252004,8
tt0439130,33544
tt0439130,33544
tt0439130,33544
tt2307094,61
tt1860180,7
tt0210130,2
tt0210130,2
tt0499059,547
tt0273607,46761
tt0273607,46761
tt0273607,46761
tt1006904,12888
tt1006904,12888
tt0447853,10
tt1423455,8138
tt1423455,8138
tt1423455,8138
tt1852113,132
tt0043698,70
tt8428942,0
tt7893350,15700
tt10300166,10845
tt11191000,16438
tt4942750,23724
tt1244700,376
tt4131238,1
tt3275286,766
tt10984586,54984
tt8438328,1
tt7029046,267
tt8528728,1257
tt2384958,394
tt0425063,135588
tt0425063,135588
tt9384126,33852
tt6684270,10093
tt1215860,13559
tt0328027,1637692
tt9283500,2320
tt1921072,1186
tt8571866,4
tt8822390,0
tt0272001,12
tt7494122,86
tt6659294,28673
tt9614416,164951
tt9031230,75193
tt9390190,9116
tt9668556,2782
tt9720440,220
tt8286772,249
tt6344678,573
tt5671248,3
tt0327255,68755
tt10081086,10
tt9363872,19
tt10122042,130744
tt5547646,25981
tt8057394,1517
tt0415744,90909
tt2509428,8229
tt7661128,32756
tt10676048,19256381
tt10676048,19256381
tt5489336,117136
tt4681082,26133
tt0260242,88446
tt3225780,65
tt8088738,1729
tt0405434,95105
tt7520904,578
tt5170292,390
tt1297844,2655
tt6471410,7343
tt2444044,27
tt3726526,184113
tt0185021,529109
tt9238046,2239
tt12233564,125
tt3442344,38732
tt1998201,28402
tt1322996,356
tt11664368,543
tt8691532,27860
tt10122618,1238
tt10545296,31348676
tt10545296,31348676
tt0096999,34711
tt0405357,11425
tt1084717,96686
tt1298836,1375109
tt6183384,7436
tt0223593,1632677
tt17663876,726
tt17663876,726
tt1234560,975023
tt6228672,1147
tt4621100,12554
tt1390821,30823
tt5747466,2626
tt5747466,2626
tt0056448,61353
tt15772866,1421377
tt1194660,845550
tt5460738,96082
tt1045898,1534279
tt11992424,293639
tt0083911,239
tt0083911,239
tt1219703,4279
tt6992874,43890
tt0093320,114010
tt6388374,16
tt1932688,149989
tt0235858,28523
tt23538910,37194
tt1172957,5351
tt1172957,5351
tt1172957,5351
tt1591505,1998
tt0070743,682187
tt0046003,3150738
tt0077780,120190
tt2999196,71883
