name,date_of_birth,place_of_birth,oscars,oscar_nominations,BAFTA,bafta_nominations,golden_globes,golden_globe_nominations,greatest_performances
Al Pacino,25 April 1940,"East Harlem, New York, United States",1,8,2,5,4,15,"Serpico, Scent of a Woman, Dog Day Afternoon, The Godfather: Part II"
Alan Arkin,26 March 1934,"Brooklyn, New York, United States",1,4,1,3,1,6,"Argo, Little Miss Sunshine, The Heart Is a Lonely Hunter"
Alan Rickman,21 February 1946,"Hammersmith, London, United Kingdom",0,0,1,4,1,1,"Michael Collins, Truly Madly Deeply, Sense and Sensibility"
Albert Finney,9 May 1936,"Charlestown, Salford, United Kingdom",0,5,2,13,2,9,"The Murder on the orient Express, The Dresser, Under the Volcano"
Alec Guinness,2 April 1914,"Maida Vale, London, United Kingdom",1,5,3,7,1,3,"Star Wars, Little Dorrit, The Bridge on the River Kwai"
Anthony Hopkins,31 December 1937,"Margam, United Kingdom",1,4,3,9,0,6,"The Silence of the Lambs, Nixon, The Remains of the Day"
Anthony Quinn,21 April 1915,"Chihuahua, Mexico",2,4,0,2,0,5,"Lust for Life, Viva Zapata!, Alexis Zorbas"
Ben Kingsley,31 December 1943,"Snainton, United Kingdom",1,4,2,4,2,8,"Gandhi, Sexy Beast, House of Sand and Fog"
Benicio Del Toro,19 February 1967,"San Germán, Puerto Rico",1,2,1,2,1,1,"Traffic, 21 Grams, The Pledge"
Bill Murray,21 September 1950,"Evanston, Illinois, United States",0,1,1,1,1,4,"Rushmore, Lost in Translation, Hyde Park on Hudson"
Brad Pitt,18 December 1963,"Shawnee, Oklahoma, United States",1,6,1,5,1,5,"The Curious Case of Benjamin Button, Moneyball, Twelve Monkeys"
Burt Lancaster,2 November 1913,"Manhattan, New York, United States",1,4,2,4,1,5,"Atlantic City, Elmer Gantry, From Here to Eternity"
Cary Grant,18 January 1904,"Horfield, Bristol, United Kingdom",0,2,0,1,0,4,"Charade, Penny Serenade, Not But the Lonely Heart"
Charles Chaplin,16 April 1889,"London, United Kingdom",1,4,0,0,0,0,"The Great Dictator, City Lights, Modern Times"
Charles Laughton,1 July 1899,"Scarborough, United Kingdom",1,3,0,2,0,1,"Mutiny on the Bounty, Witness for the Prosecution, The Private Life of Henry VIII"
Charlton Heston,4 October 1923,"Evanston, Illinois, United States",1,1,0,0,0,3,"Ben-Hur, The Ten Commandments, The Pigeon That Took Rome"
Christian Bale,30 January 1974,"Haverfordwest, United Kingdom",1,2,0,2,1,2,"The Fighter, The Dark Knight, American Hustle"
Christoph Waltz,4 October 1956,"Vienna, Austria",2,2,2,2,2,2,"Carnage, Django Unchained, Inglourious Bastards"
Christopher Plummer,13 December 1929,"Toronto, Canada",1,2,1,1,1,3,"Beginners, The Last Station, The Sound of Music"
Christopher Walken,31 March 1943,"Astoria, New York, United States",1,2,1,2,0,1,"Hairspray, The Deer Hunter, King of New York, Catch Me If You Can"
Clark Gable,1 February 1901,"Cadiz, Ohio, United States",1,3,0,0,0,2,"Gone with the Wind, Mutiny on the Bounty, It Happened One Night"
Clint Eastwood,31 May 1930,"San Francisco, California, United States",2,7,0,3,3,12,"Million Dollar Baby, Unforgiven, Million Dollar Baby, The Good, the Bad, and the Ugly"
Colin Firth,10 September 1960,"Grayshott, United Kingdom",1,2,2,5,1,2,"A Single Man, The King's Speech, Tinker Tailor Soldier Spy"
Daniel Day-Lewis,29 April 1957,"Kensington, London, United Kingdom",3,5,4,6,2,7,"There Will Be Blood, Lincoln, My Left Foot"
Denzel Washington,28 December 1954,"Mount Vernon, New York, United States",2,8,0,0,2,8,"Fences, Glory, Malcolm X, Training Day"
Don Cheadle,29 November 1964,"Kansas City, Missouri, United States",0,1,0,2,2,3,"The Rat Pack, House of Lies, Hotel Rwanda"
